player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Tate Haynes,60348,CB,BOSTON COL,3,0,0,66.7,0,0,121,70.4,70.7,76.4,,60.9,77.5,0,0,0,6,0.0,0,1,0,109.7,2,0,1,19,26,32,0,0,0,0,0,0,32,0,6,12,1,2,3,0,1,9,5,4.5
Evan Fochtman,60473,S,NAVY,3,3,0,45.5,0,0,237,59.0,62.0,82.0,,65.6,55.2,0,0,1,19,21.1,4,0,0,26.3,5,0,62,0,59,165,1,0,0,1,0,44,164,0,106,58,5,12,11,0,0,64,30,12.8
Austin Upshaw,60528,WR,SMU,1,0,0,,0,0,287,,60.0,60.0,,60.0,,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Shawn Robinson,60551,QB,MISSOURI,1,2,0,0.0,0,0,229,95.1,90.5,77.0,59.7,43.5,41.5,0,0,1,,33.3,2,1,1,0.0,0,0,6,0,13,31,5,0,0,5,0,0,26,1,17,20,1,2,2,0,0,0,0,
Rhedi Short,60622,S,ARIZONA,5,13,0,71.4,0,0,109,48.7,53.8,83.0,,61.1,54.0,0,0,0,31,20.0,9,0,0,153.3,5,0,157,1,133,299,1,0,0,1,0,88,298,0,166,52,5,23,7,0,1,121,24,24.2
Demetrius Murray,60627,S,BALL ST,1,0,0,,0,0,117,60.0,60.9,66.1,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,
Bryce Cosby,60628,S,BALL ST,6,5,1,78.3,0,0,117,77.6,75.1,18.6,76.3,65.3,68.2,0,1,1,51,14.6,6,2,1,93.5,18,1,136,5,225,405,4,0,0,4,0,72,401,7,173,188,10,30,23,2,1,168,116,9.3
Brett Anderson II,60629,S,BALL ST,6,10,0,50.0,0,0,117,62.7,66.8,86.3,,74.1,73.2,0,0,1,71,11.1,4,0,0,88.7,9,0,129,3,258,439,6,0,0,6,0,242,433,0,181,59,5,22,18,0,1,214,125,23.8
Kekaula Kaniho,60637,S,BOISE ST,6,3,3,61.1,0,0,120,70.1,67.6,86.8,73.2,57.6,56.2,3,2,0,39,17.9,7,2,0,115.3,11,0,148,3,170,419,62,0,0,62,0,18,357,29,220,188,14,29,18,5,2,109,25,9.9
Tyreque Jones,60638,S,BOISE ST,4,3,0,36.4,0,0,120,55.1,52.8,83.7,,45.4,51.1,0,0,0,38,25.0,2,1,0,68.8,4,0,65,4,147,253,1,0,0,1,0,86,252,0,106,97,0,3,11,0,0,96,18,24.0
Daniel Scott,60640,S,CAL,4,1,0,0.0,0,0,130,83.7,74.9,82.4,65.8,60.9,54.9,0,2,0,,22.7,5,1,0,39.6,0,0,47,1,53,169,16,0,0,16,0,69,153,3,113,36,5,16,2,2,0,0,0,
Lummie Young IV,60642,S,DUKE,5,10,0,54.5,0,0,154,65.6,56.5,0.0,57.7,44.4,36.4,1,0,1,14,28.9,11,1,1,22.5,6,0,102,2,136,242,15,0,0,15,0,97,227,4,102,26,7,17,11,1,0,34,25,5.7
Leonard Johnson,60643,CB,DUKE,10,8,0,60.6,0,1,154,58.4,61.6,86.0,56.0,72.6,29.1,0,0,1,79,27.8,10,3,1,119.8,20,0,20,477,256,533,26,0,0,26,0,3,507,5,272,6,7,18,33,0,5,319,153,16.0
Michael Carter II,60644,CB,DUKE,11,6,0,53.2,2,0,154,76.7,76.2,87.6,59.2,71.5,73.8,0,0,2,40,9.8,4,8,3,65.8,25,0,91,168,312,618,15,0,0,15,0,38,603,1,305,306,11,31,47,0,2,259,106,10.4
Marquis Waters,60646,S,DUKE,11,15,0,58.3,1,0,154,56.0,60.5,85.8,61.3,64.7,71.1,1,3,0,89,14.0,13,5,2,113.2,21,1,357,6,369,745,37,0,0,37,0,206,708,13,363,138,24,65,36,5,2,380,183,18.1
Donovan Stiner,60647,S,FLORIDA,9,11,0,53.8,0,0,163,54.1,61.2,85.1,62.1,73.2,61.1,0,1,0,45,16.7,8,0,0,125.6,7,0,220,3,278,509,3,0,0,3,0,200,506,6,225,83,9,29,13,1,2,122,29,17.4
SaVion Harris,60652,S,UTSA,7,5,0,100.0,0,0,331,44.4,51.8,84.3,55.7,71.4,59.3,0,0,0,47,18.5,5,0,0,118.8,11,0,52,2,149,248,4,0,0,4,0,128,244,4,95,62,7,17,11,0,0,158,60,14.4
Ahman Ross,60654,S,FAU,8,9,0,44.4,0,1,165,64.9,59.7,63.6,59.8,55.7,39.4,2,7,0,58,23.6,13,2,1,117.4,4,1,170,0,154,495,258,0,0,258,0,1,237,102,239,66,24,33,9,10,1,89,83,22.3
Kenderick Duncan,60658,S,GA SOUTHRN,6,8,0,58.3,0,0,174,84.7,81.1,24.0,64.5,74.2,82.6,0,1,2,26,6.1,2,3,1,35.8,7,0,145,16,181,362,3,0,0,3,0,148,359,4,177,49,8,23,12,1,0,71,18,10.1
A.J. Musolino,60667,LB,KENT STATE,2,0,0,,0,0,201,64.2,57.7,75.8,46.6,59.6,25.2,0,1,0,,66.7,2,0,0,0.0,0,0,12,0,7,19,5,0,0,5,0,0,14,2,10,2,1,1,0,1,0,0,0,
Aaron Pierre,60670,LB,LIBERTY,10,5,0,52.9,0,0,206,65.9,71.0,36.4,85.1,69.3,67.0,2,5,0,18,14.7,5,1,1,89.8,9,1,309,6,190,390,15,0,0,15,0,4,375,24,176,56,11,24,17,8,1,98,60,10.9
Jaiden Cole,60673,S,LA TECH,9,7,0,83.3,1,1,208,51.1,52.3,0.0,86.8,53.4,30.2,1,1,0,49,32.6,15,1,2,118.8,10,1,114,1,166,344,13,0,0,13,0,162,331,11,167,54,10,24,12,3,0,161,57,16.1
Traveion Webster,60676,LB,LA MONROE,10,12,0,80.0,1,0,209,56.0,67.3,48.8,82.5,63.9,69.6,9,7,0,32,10.8,8,0,1,109.2,4,3,500,2,145,534,28,0,0,28,0,0,506,66,323,1,31,54,5,19,0,51,33,12.8
